Period (Year),Period (Month),All Volume,Churn Volume,Monthly Churn %, | ,Period (Year),All Volume,Churn Volume,Yearly Churn %
2020,Apr,2920641501.122,90832840.5,3.11%,,2020.0,26623378449.562,1202967879.64,4.52%
2020,Aug,2082580854.31,120393006.46,5.78%,,2021.0,28699390912.96224,957936750.9419999,3.34%
2020,Dec,2620549532.044,95213467.1,3.63%,,2022.0,25287394110.1556,758612998.691,3.0%
2020,Feb,1807416090.084,77309656.9,4.28%,,2023.0,24056726103.2938,647779555.44,2.69%
2020,Jan,1947935902.28,83761941.66,4.3%,,2024.0,25047025343.000282,791031122.552,3.16%
2020,Jul,2181476862.67,109687774.28,5.03%,,2025.0,24892660282.036232,441111110.206,1.77%
2020,Jun,1809228826.64,101605696.0,5.62%,,2026.0,10284541096.79109,0.0,0.0%
2020,Mar,1936011835.1200001,71560488.10000001,3.7%,,,,,
2020,May,1773130111.444,95451564.7,5.38%,,,,,
2020,Nov,3409279120.704,105760078.36,3.1%,,,,,
2020,Oct,2076055119.036,127178515.98,6.13%,,,,,
2020,Sep,2059072694.108,124212849.6,6.03%,,,,,
2021,Apr,2057914167.40012,69900911.8,3.4%,,,,,
2021,Aug,2639251535.612,104839010.76,3.97%,,,,,
2021,Dec,2380402832.55,77714838.7,3.26%,,,,,
2021,Feb,2680770020.154,79752755.682,2.97%,,,,,
2021,Jan,2818130508.044,99418212.6,3.53%,,,,,
2021,Jul,2085625931.14392,78867565.1,3.78%,,,,,
2021,Jun,2020405760.716,75433732.60000001,3.73%,,,,,
2021,Mar,2218883555.9702,67867792.03999999,3.06%,,,,,
2021,May,2051685702.412,74455062.76,3.63%,,,,,
2021,Nov,2221603620.612,75816568.89999999,3.41%,,,,,
2021,Oct,2357222566.524,66929679.6,2.84%,,,,,
2021,Sep,3167494711.824,86940620.39999999,2.74%,,,,,
2022,Apr,1788239195.16,62783773.4,3.51%,,,,,
2022,Aug,1990495547.524,58575414.46,2.94%,,,,,
2022,Dec,2198854244.972,54723329.12,2.49%,,,,,
2022,Feb,2092347365.996,57785093.9,2.76%,,,,,
2022,Jan,2950512145.572,67583857.0,2.29%,,,,,
2022,Jul,1938257002.336,56766230.74,2.93%,,,,,
2022,Jun,1847131810.84,53994074.3,2.92%,,,,,
2022,Mar,2018095408.136,67612983.9,3.35%,,,,,
2022,May,2297538789.2,66639359.300000004,2.9%,,,,,
2022,Nov,1967138887.712,71172288.9,3.62%,,,,,
2022,Oct,1932522616.1816,70336452.731,3.64%,,,,,
2022,Sep,2266261096.526,70640140.94,3.12%,,,,,
2023,Apr,1916357016.044,51433204.6,2.68%,,,,,
2023,Aug,2041920292.7338,56913504.7,2.79%,,,,,
2023,Dec,1904529372.152,53721098.18,2.82%,,,,,
2023,Feb,1750312727.644,52966725.04,3.03%,,,,,
2023,Jan,2084248212.144,65156823.1,3.13%,,,,,
2023,Jul,2265613213.82,57489902.5,2.54%,,,,,
2023,Jun,1828054876.55,57583833.0,3.15%,,,,,
2023,Mar,2203113660.072,55735583.9,2.53%,,,,,
2023,May,1983127303.014,59061422.2,2.98%,,,,,
2023,Nov,1892002463.06,46814661.96,2.47%,,,,,
2023,Oct,2322649023.608,44253568.36,1.91%,,,,,
2023,Sep,1864797942.452,46649227.9,2.5%,,,,,
2024,Apr,2311505000.3628,84636985.86,3.66%,,,,,
2024,Aug,2119405269.15,78399109.54,3.7%,,,,,
2024,Dec,1891685072.672,62698918.2,3.31%,,,,,
2024,Feb,1869907150.976,61314355.18,3.28%,,,,,
2024,Jan,2386030638.72848,60482417.8,2.53%,,,,,
2024,Jul,2414735028.6794,67972957.552,2.81%,,,,,
2024,Jun,1887326910.996,72934471.74,3.86%,,,,,
2024,Mar,1935955182.663,66063740.92,3.41%,,,,,
2024,May,1968999603.349,67012757.44,3.4%,,,,,
2024,Nov,2200887119.14,56222428.9,2.55%,,,,,
2024,Oct,2152008170.06,62095237.3,2.89%,,,,,
2024,Sep,1908580196.2236,51197742.12,2.68%,,,,,
2025,Apr,1947748224.59,50250143.3,2.58%,,,,,
2025,Aug,2454714485.0,32949039.0,1.34%,,,,,
2025,Dec,1905844930.0,0.0,0.0%,,,,,
2025,Feb,1840327566.598,60319658.0,3.28%,,,,,
2025,Jan,1876123721.572,60142388.3,3.21%,,,,,
2025,Jul,2083746196.102,43643251.8,2.09%,,,,,
2025,Jun,1862401816.1890001,32400416.4,1.74%,,,,,
2025,Mar,2411779022.47523,58655541.906,2.43%,,,,,
2025,May,2287723264.51,48425143.5,2.12%,,,,,
2025,Nov,2195308756.0,6405844.0,0.29%,,,,,
2025,Oct,2035601978.0,13472828.0,0.66%,,,,,
2025,Sep,1991340321.0,34446856.0,1.73%,,,,,
2026,Apr,1991560405.8835,0.0,0.0%,,,,,
2026,Feb,2164946486.54199,0.0,0.0%,,,,,
2026,Jan,1947475199.878,0.0,0.0%,,,,,
2026,Mar,1837108948.8644,0.0,0.0%,,,,,
2026,May,2343450055.6232,0.0,0.0%,,,,,
